timestamp,license_plate,confidence,vehicle_type,track_id,violations,signal
1775466690.28564,4ITUTILE,0.02,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466690.28564,HV51YSU,0.04,vehicle,1,None,RED
1775466694.703444,VSITSU,0.13,vehicle,1,None,RED
1775466695.780915,E9UZUT,0.03,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466695.780915,XD51YSU,0.37,vehicle,2,None,RED
1775466696.411916,EBJINZHTVF,0.02,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466696.411916,HYSLYSU,0.47,vehicle,2,None,RED
1775466696.711859,MDFARRUR,0.06,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466696.711859,HUSLTSU,0.12,vehicle,2,None,RED
1775466696.9266958,HHSTSU,0.14,vehicle,2,None,RED
1775466697.125778,INTASU,0.09,vehicle,2,None,RED
1775466697.3651578,EBITZWN,0.01,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466697.3651578,MUSHYSU,0.22,vehicle,2,None,RED
1775466697.555818,BOINQRU,0.35,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466697.555818,KUSRSU,0.32,vehicle,2,None,RED
1775466697.715519,MZIRWT,0.05,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466697.715519,NMSLISU,0.03,vehicle,2,None,RED
1775466697.927903,WNZIRWP,0.11,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466697.927903,HYSLTSV,0.23,vehicle,3,None,RED
1775466698.114513,DNIONRWU,0.03,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466698.114513,HUSISU,0.22,vehicle,3,None,RED
1775466698.500617,QEWWWJNOU,0.00,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466698.500617,VIHKSLYSUE,0.01,vehicle,3,None,RED
1775466698.947504,TURLVJIRU,0.07,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466699.180562,BINJINRUT,0.24,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466699.180562,HT51RSU,0.05,vehicle,3,None,RED
1775466699.3857129,UZTRUT,0.02,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466699.3857129,MUSLVSU,0.47,vehicle,3,None,RED
1775466699.5550458,EPPNRUG,0.01,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466699.5550458,KVSLSU,0.36,vehicle,3,None,RED
1775466699.7778702,PMAZQU,0.05,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466699.7778702,XVELVSU,0.26,vehicle,3,None,RED
1775466700.1512032,HVSLVSU,0.26,vehicle,2,None,RED
1775466700.619776,JAZNRU,0.09,vehicle,1,Red Light Jump;Wrong Lane,RED
1775466700.619776,JRUSUVSW,0.06,vehicle,2,None,RED
1775466700.83136,MUSLYSU,0.18,vehicle,2,None,RED
1775466701.014196,MJHRWF,0.08,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466701.014196,KWSLVSU,0.51,vehicle,2,None,RED
1775466701.1940212,JHUSLYSU,0.08,vehicle,2,None,RED
1775466701.377685,MK51VSU,0.22,vehicle,4,None,RED
1775466701.5681002,SLTUAT,0.04,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466701.9942489,KVSEYSU,0.17,vehicle,3,None,RED
1775466702.189054,UTAAWU,0.06,vehicle,1,Red Light Jump;Wrong Lane,RED
1775466702.189054,MV51SSW,0.23,vehicle,2,None,RED
1775466702.3521202,HVSLTSU,0.17,vehicle,2,None,RED
1775466702.548117,15HSLYSU,0.22,vehicle,2,Red Light Jump,RED
1775466702.751721,DMNZHRUF,0.13,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466702.751721,HV51VSU,0.30,vehicle,2,Red Light Jump,RED
1775466702.9596748,HH51YSU,0.26,vehicle,2,Red Light Jump,RED
1775466703.1500092,KHSVSU,0.09,vehicle,2,Red Light Jump,RED
1775466703.341321,MS1TSQ,0.03,vehicle,2,None,GREEN
1775466703.5206552,KKSLKSW,0.05,vehicle,2,None,GREEN
1775466703.674645,IJHNSIRSW,0.03,vehicle,1,None,GREEN
1775466703.978786,JXNTSIYSU,0.03,vehicle,2,None,GREEN
1775466704.127312,TYSUSULC,0.13,vehicle,3,None,GREEN
1775466704.265512,HN51RSU,0.13,vehicle,5,None,GREEN
1775466704.554647,MRSLTSV,0.17,vehicle,3,None,GREEN
1775466704.6803021,XU51VSW,0.11,vehicle,0,None,GREEN
1775466704.807401,KW51VSU,0.33,vehicle,1,None,GREEN
1775466704.943032,HWSWYSV,0.16,vehicle,0,None,GREEN
1775466705.067939,RNSISU,0.28,vehicle,0,None,GREEN
1775466705.5583649,MTEYSU,0.20,vehicle,3,None,GREEN
1775466705.791175,GXISAR,0.45,vehicle,0,Wrong Lane,GREEN
1775466705.791175,OIXN5LFSU,0.03,vehicle,3,None,GREEN
1775466706.090373,1GXI5031,0.11,vehicle,1,Wrong Lane,GREEN
1775466706.090373,UKIIGW,0.11,vehicle,2,None,GREEN
1775466706.44974,1BCXSOCI,0.02,vehicle,1,Wrong Lane,GREEN
1775466706.44974,DNSISU,0.09,vehicle,2,None,GREEN
1775466706.6335502,RISLYSU,0.14,vehicle,1,None,GREEN
1775466706.6335502,GISOQY,0.45,vehicle,2,Wrong Lane,GREEN
1775466706.985056,635051,0.32,vehicle,0,Wrong Lane,GREEN
1775466706.985056,XYSLVSU,0.31,vehicle,3,None,GREEN
1775466707.1750798,XVSLYSU,0.21,vehicle,3,None,GREEN
1775466708.127286,BIGXISDGU,0.19,vehicle,0,Wrong Lane,GREEN
1775466708.127286,HT51VSU,0.13,vehicle,1,None,GREEN
